source	isbn	name	author	label
ProService	9780073516677	Computing Essentials	o'leary, timothy j.; o'leary, linda i.	True
Collegebooksdirect.com	9780073516677	Computing Essentials	o'leary, timothy j.; o'leary, linda i.	True
textbooksNow	9780073516677	Computing Essentials: Complete (2007)	oleary	False
www.textbooksrus.com	9780073516677	COMPUTING ESSENTIALS 2007:COMP	oleary	False
LGTextbooks.com	9780073516677	COMPUTING ESSENTIALS 2007 COMPLETE EDITION	o'leary	False
G.T.S.	9780073516677	Computing Essentials 2007, Complete Edition (O'Leary Series)	o'leary, timothy j.; o'leary, linda i.	True
Indoo.com	9780073516677	Computing Essentials 2007, Complete Edition	o'leary	False
boox2relyon	9780073516677	O'LEARY: Computing Essentials 2007 Complete Edition, 18e	o'leary	False
Alinonline	9780073516677	Computing Essentials	o'leary, timothy j.; o'leary, linda i.	True
A1Books	9780073516677	Computing Essentials 2007, Complete Edition (oandapos;leary, Timothy J., Oandapos;leary Series.)	timothy j oandapos;leary, linda i oandapos;leary	False
textbookxdotcom	9780073516677	Computing Essentials	o'leary, timothy j.; o'leary, linda i.	True
Caiman	9780073516677	Computing Essentials 2007	o'leary, timothy j.; o'leary, linda i.	True
Movies With A Smile	9780073516677	Computing Essentials 2007, Complete Edition	o'leary, timothy j.; o'leary, linda i.	True
Players Quest	9780073516677	Computing Essentials 2007, Complete Edition (O'Leary Series)	o'leary, timothy j.; o'leary, linda i.	True
Englishbookservice.com GTI GmbH	9780073516677	Computing Essentials	o'leary, timothy j.; o'leary, linda i.	True
Revaluation Books	9780073516677	Computing Essentials 2007 Complete Edition	o'leary, timothy j.; o'leary, linda i.	True
Limelight Bookshop	9780073516677	Computing Essentials 2007	o'leary, timothy j.; o'leary, linda i.	True
Back Alley Books	9780072999389	Computer Accounting Essentials Using ePeachtree	yacht, carol; crosson, susan	True
Indoo.com	9780072999389	Computer Accounting Essentials Using ePeachtree	yacht	False
A1Books	9780072999389	Computer Accounting Essentials Using Epeachtree	yacht, carol; crosson, susan	True
textbookxdotcom	9780072999389	Computer Accounting Essentials Using ePeachtree	yacht	False
Caiman	9780072999389	Computer Accounting Essentials Using Epeachtree	yacht, carol; crosson, susan	True
Bobs Books	9780072999389	Computer Accounting Essentials Using ePeachtree	yacht, carol; crosson, susan	True
Books Down Under	9780072999389	Computer Accounting Essentials Using ePeachtree	yacht, carol; crosson, susan	True
Papamedia.com	9780072999389	Computer Accounting Essentials Using ePeachtree	carol yacht	False
Revaluation Books	9780072999389	Computer Accounting Essentials Using Epeachtree	yacht, carol; crosson, susan	True
pat marketing	9780072922363	Fundamentals of Finite Element Analysis	none	False
Reliable Book Service	9780072922363	Fundamentals of Finite Element Analysis	hutton, david w.	False
Speedy Books shipping from USA!	9780072922363	Fundamentals of Finite Element Analysis	david v. hutton	True
Best Book Deals	9780072922363	Fundamentals of Finite Element Analysis	david v. hutton	True
