isbn	author
9780073516677	o'leary, timothy j.;  o'leary, linda i.;  
9780072999389	yacht, carol ;  crosson, susan ;  
9780072922363	hutton, david v.;  
9780072843996	haag, stephen ;  perry, james t.;  sosinsky, barrie ;  estevez, efren ;  
9780072466850	reddy, j. n. ;  
9780072255096	conklin, wm. arthur;  white, gregory b.;  cothren, chuck ;  williams, dwayne ;  davis, roger l.;
9780072232172	suhanovs, dennis ;
9780072230611	scambray, joel ;  mcclure, stuart ;  
9780072226331	white, gregory ;  
9780071357814	xiang, zhigang ;  plastock, roy a.;  
9781576761061	meadors, todd ;  schmidt, cheryl a.;  
9781558609350	courage, catherine ;  baxter, kathy ;  
9781558609342	kumar, c bala;  kline, paul j.;  thompson, tim j.;  
9781558609199	halpin, terry ;  evans, ken ;  hallock, pat ;  maclean, bill ;  
9781558609016	han, jiawei ;  kamber, micheline ;  
9781558608893	goldman, ron ;  gabriel, richard p.;  
9781558608729	hoos, holger h.;   stutzle, thomas;  
9781558608591	strassner, john c.;  
978155860846X	makofske, david ;  almeroth, kevin ;  
978155860829X	lacroix, zoe ;  critchlow, terence;
9781558608109	loshin, pete ;  
9781558607870	strothotte, thomas ;  schlechtweg, stefan ;  
9781558607587	harmon, paul ;  
9781558606971	chisholm, malcolm ;  
9781558606483	puder, arno ;  romer, kay ;  pilhofer, frank ;  
978155860636X	harris, david ;  
9781558605959	kennedy, james ;  eberhart, russell c.;  
9781558605711	hegering, heinz-gerd ;  neumair, bernhard;  abeck, sebastian;  
9781558605150	muller, robert j.;  
9781558604545	jones, karen sparck;  willett, peter ;  
9781558603751	stollnitz, eric j.;  derose, tony d.;  salesin, david h.;  
9781558603042	widom, jennifer ;  ceri, stefano;
9781558601368	przybylski, steven a.;  
978155558327X	erbschloe, michael ;  
9781555582990	lissoir, alain ;  
9781555582796	duffy, michael d.;  
9781555582605	fortier, paul j.;  michel, howard e.;  
9781555582184	etzel, michael ;  dickinson, karen ;  
9781555580416	steele, guy l.;  
9780750699388	shaw, paul d.;  
9780750694998	pease, robert a.;  
9780750677953	jones, andy ;  ashenden, debi ;  
9780750673273	boyce, joseph g.;  jennings, dan w.;  
978075066455X	mcmanus, john ;  
9780750656832	pooley, rob ;  wilcox, pauline ;  
9780672323435	mcmanus, jeffrey p.;  goldstein, jackie ;  
978044450673X	jenssen, c. b.;  kvamdal, t. ;  andersson, h. i.;  Ecer, A.;  Periaux, J.;  Satofuka, N.;  Fox, P.;
9780321444426	dowd, mark ;  mcdonald, john ;  schuh, justin ;  
9780321418700	mcgraw, gary ;  viega, john ;  hoglund, greg ;  
9780321397975	woody, buck ;  
9780321356411	conry-murray, andrew ;  weafer, vincent ;  
9780321335724	seacord, robert c.;  
9780321322215	sudkamp, thomas a.;  
978032131283X	ben-ari, m. ;  
9780321304292	adams, tyrone ;  scollard, sharon ; 
9780321287509	henderson, ken ;  
9780321263545	coulouris, george ;  dollimore, jean ;  kindberg, tim ;  
978032124544X	snader, jon c.;  
9780321228103	nantz, brian ;  
9780321219767	filman, robert e.;  elrad, tzilla ;  clarke, siobhan ;  aksit, mehmet ;  
9780321205219	singh, inderjeet ;  brydon, sean ;  murray, greg ;  ramachandran, vijay ;  violleau, thierry ;  stearns, beth ;  
9780321194985	sunderraman, rajshekhar ;  
9780321181433	lauesen, soren ;  
9780321165810	brundage, michael ;  
9780321150406	harold, elliotte rusty;  
978032112698X	naik, dilip c.;
9780321112296	rozanski, nick ;  woods, eoin ;  
9780201889544	stroustrup, bjarne ;  
9780201823764	abrahams, paul w.;  larson, bruce r.;  
9780201776316	stevens, w. richard;  wright, gary r. ;  
9780201767910	rucker, rudy ;  
9780201749602	park, jack ;  hunting, sam ;  
9780201734958	pattison, ted ;  hummel, joe ;  
9780201722291	smith, connie u.;  williams, lloyd g.;  
9780201715848	lewis, jonathan ;  
9780201704471	carroll, john m.;  
9780201699710	huston, stephen d.;  johnson, james ce;  syyid, umar ;  
9780201634929	rector, brent e.;  newcomer, joseph m.;  
9780201633582	feuer, alan r.;  
9780201615924	armour, frank ;  miller, granville ;  
9780201580438	winston, patrick henry;  
9780201543303	stroustrup, bjarne ;  
9780201489163	campbell, dave ;  campbell, mary ;  
978020140009X	sedgewick, robert ;  flajolet, philippe ;  
9780201379236	musser, david r.;  derge, gillmer j.;  saini, atul ;  
9780201310058	bloch, joshua ;  
9780201137445	maclennan, bruce j.;  
9780131872893	dann, wanda p.;  cooper, stephen ;  pausch, randy ;  
9780131463055	geary, david ;  horstmann, cay ;  
9780131227068	rubinstein, moshe f.;  firstenberg, iris r.;  
